"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"11","Ras signaling pathway","33/232",0.000455070203963352,0.0127419657109739,0,0,2.0094266955214,15.4626566898405,"RAB5B;SHC1;RASGRF1;RASGRP2;ETS1;RELA;PLD2;HTR7;RRAS;RASSF5;RAC2;PAK6;ABL2;RALGDS;PAK4;MAPK3;PRKCG;PDGFRB;NGFR;RASA4B;KSR1;VEGFC;PLAAT3;PGF;BUB1B-PAK6;TIAM1;EFNA3;EFNA2;RASA4;FGF19;REL;FGFR4;FGFR3"
"12","Human papillomavirus infection","43/331",0.000513933211329464,0.0131909524241229,0,0,1.81241186075855,13.7261512322487,"LAMA5;CDKN1A;NOTCH1;PXN;LAMC2;LAMC1;TCIRG1;RBPJ;RELA;FOXO1;WNT6;PARD6B;WNT11;CREB3L3;CREB3L1;ITGB6;BAK1;WNT4;MAPK3;PDGFRB;WNT10A;FZD5;VWF;LAMB3;LAMB2;WNT7B;FN1;WNT7A;TSC1;PPP2R5D;WNT9A;TICAM1;COL1A1;CCNA1;COL4A1;COL6A2;IRF1;CDK2;COL6A1;ITGA7;COL9A3;ITGA6;CRB3"
"13","Adherens junction","14/71",0.000906906908783369,0.0214867175311752,0,0,2.96201512956704,20.7503103498135,"PTPN1;SMAD3;CSNK2A2;PTPRJ;SORBS1;BAIAP2;PTPRF;ACTG1;RAC2;NECTIN4;VCL;NECTIN2;MAPK3;NECTIN1"
"14","Regulation of actin cytoskeleton","30/218",0.0013792063688456,0.0303425401146032,0,0,1.93095674228547,12.7177581287922,"CHRM4;PXN;ACTG1;SLC9A1;ACTR3C;RRAS;RAC2;BDKRB2;ITGAX;PAK6;BDKRB1;ITGB6;PAK4;MAPK3;PDGFRB;GSN;FN1;BAIAP2;BUB1B-PAK6;TIAM1;FGF19;SPATA13;ARHGEF4;ITGA7;ITGA6;EZR;FGFR4;PPP1R12B;FGFR3;VCL"
"15","Amoebiasis","17/102",0.00194917973606543,0.0400231572472102,0,0,2.41300065659882,15.057960547145,"PRKCG;SERPINB3;SERPINB4;LAMA5;RAB5B;TGFB1;LAMB3;LAMB2;FN1;HSPB1;LAMC2;LAMC1;RELA;COL1A1;GNA15;COL4A1;VCL"
"16","Thyroid hormone signaling pathway","19/121",0.00223592684661504,0.0430415917973395,0,0,2.24827577316265,13.7214506130704,"PRKCG;NOTCH1;THRA;NCOA3;ATP2A3;SLC2A1;ATP2A2;ATP2A1;ATP1A1;ATP1B1;FOXO1;ACTG1;SLC9A1;MED14;RXRA;SLC16A2;PLCD3;WNT4;MAPK3"
"17","Basal cell carcinoma","12/63",0.00279583601311251,0.0506539701199207,0,0,2.83477055743763,16.6673853069346,"WNT6;CDKN1A;WNT10A;WNT11;FZD5;GADD45B;PTCH1;WNT7B;WNT7A;WNT9A;BAK1;WNT4"
"18","Hypertrophic cardiomyopathy","15/90",0.00349626581496527,0.0584709342947976,0,0,2.41114754098361,13.6375946544361,"ACE;TGFB1;TPM2;ATP2A3;ATP2A2;ATP2A1;ACTG1;CACNG6;CACNB3;ACTC1;DES;DAG1;ITGA7;ITGA6;ITGB6"
"19","Cushing syndrome","22/155",0.00386728252948673,0.0584709342947976,0,0,1.99705786204642,11.0940622405109,"WNT10A;CDKN1A;FZD5;WNT7B;CAMK2A;AIP;ARNT;WNT7A;WNT9A;CACNA1H;CACNA1G;WNT6;NR4A1;NCEH1;WNT11;CREB3L3;SP1;CREB3L1;CDK2;LDLR;WNT4;MAPK3"
"20","AGE-RAGE signaling pathway in diabetic complications","16/100",0.00396904540275533,0.0584709342947976,0,0,2.29671291088614,12.6990531609338,"STAT5A;STAT5B;SMAD3;TGFB1;MMP2;SERPINE1;FN1;VEGFC;FOXO1;RELA;COL1A1;THBD;COL4A1;PIM1;PLCD3;MAPK3"
"21","HIF-1 signaling pathway","17/109",0.00398665461100893,0.0584709342947976,0,0,2.2285534842559,12.312318625877,"PRKCG;CDKN1A;PFKFB3;SERPINE1;CAMK2A;SLC2A1;ARNT;ENO2;ENO3;RELA;HK1;MKNK2;HMOX1;TIMP1;ALDOA;IL6R;MAPK3"
"22","cAMP signaling pathway","28/216",0.00462608322217177,0.0647651651104047,0,0,1.79984239558708,9.6760332170617,"VIPR2;GIPR;CAMK2A;ATP2A3;ATP2A2;ADRB1;ATP2A1;ADRB2;ATP1A1;RELA;PLD2;SLC9A1;HCAR2;HCAR3;CREB3L3;RRAS;CREB3L1;RAC2;MAPK3;EDN2;PTCH1;ATP2B4;ATP1B1;GRIN2D;NFKBIA;TIAM1;RAPGEF3;HCN2"
"23","Toxoplasmosis","17/112",0.00528169707571665,0.0707288130139447,0,0,2.15782562117704,11.3145755124759,"MAP2K3;LAMA5;TGFB1;LAMB3;LAMB2;LAMC2;LAMC1;RELA;GNAO1;NFKBIA;SOCS1;TRAF6;ITGA6;BIRC7;LDLR;HLA-DQB1;MAPK3"
"24","Dilated cardiomyopathy","15/96",0.00648566268196187,0.0775988205770861,0,0,2.23181542197936,11.2442460421134,"TGFB1;TPM2;ATP2A3;ATP2A2;ATP2A1;ADRB1;ACTG1;CACNG6;CACNB3;ACTC1;DES;DAG1;ITGA7;ITGA6;ITGB6"
"25","Endocytosis","31/252",0.00650516426369488,0.0775988205770861,0,0,1.69543523174677,8.53678582265265,"ARF4;ARF1;RAB5B;CBLC;AP2A1;CBL;PLD2;ACTR3C;PARD6B;GRK5;PIP5KL1;PSD4;LDLR;RAB11FIP4;SMAD3;SMURF1;VPS37D;STAM;AP2B1;ARFGAP3;ARFGAP1;DNM1;PML;EHD1;EPN3;EHD4;RAB31;TRAF6;FGFR4;FGFR3;FOLR1"
"26","Endocrine and other factor-regulated calcium reabsorption","10/53",0.0065505497889748,0.0775988205770861,0,0,2.79936160510716,14.0757676464872,"PRKCG;CALB1;KLK1;BDKRB2;ATP2B4;AP2A1;ATP1A1;AP2B1;ATP1B1;DNM1"
"27","Parathyroid hormone synthesis, secretion and action","16/106",0.00705247782229759,0.080450487750654,0,0,2.14289880431613,10.6167269631533,"PRKCG;CDKN1A;JUND;PLD2;NR4A2;CYP27B1;MAFB;MMP13;RXRA;CYP24A1;CREB3L3;SP1;MMP15;CREB3L1;MEF2D;MAPK3"
"28","Cellular senescence","21/156",0.00859049888791462,0.0944954877670608,0,0,1.87660010240655,8.92717147017547,"MAP2K3;CDKN1A;SMAD3;TGFB1;TRAF3IP2;GADD45B;SERPINE1;TSC1;FOXO3;ETS1;FOXO1;ZFP36L2;RELA;CCNA1;RRAS;RASSF5;TRPV4;MAPKAPK2;CDK2;RAD9A;MAPK3"
"29","AMPK signaling pathway","17/120",0.0104696531431665,0.111194936830872,0,0,1.9893605492481,9.07004059130632,"SREBF1;PFKFB3;IRS2;TSC1;PPP2R5D;HMGCR;CPT1C;FOXO3;EEF2;FOXO1;CCNA1;TBC1D1;CREB3L3;SCD;CREB3L1;FASN;LEPR"
"30","Rap1 signaling pathway","26/210",0.0110459459636497,0.111623139878558,0,0,1.70573200850037,7.6855027227653,"RASGRP2;RAP1GAP;ACTG1;PARD6B;RRAS;RASSF5;RAC2;RALGDS;MAPK3;PRKCG;MAP2K3;PDGFRB;NGFR;VEGFC;PGF;GNAO1;TIAM1;EFNA3;EFNA2;FGF19;ID1;PRKD2;FGFR4;FGFR3;RAPGEF3;SIPA1"
"31","Adrenergic signaling in cardiomyocytes","20/150",0.0112347965462185,0.111623139878558,0,0,1.85526315789474,8.32779298714845,"TPM2;CAMK2A;ATP2A3;ATP2B4;ATP2A2;ADRB1;ATP2A1;PPP2R5D;ADRB2;ATP1A1;ATP1B1;SLC9A1;CACNG6;CACNB3;ACTC1;CREB3L3;CREB3L1;SCN1B;RAPGEF3;MAPK3"
"32","Protein digestion and absorption","15/103",0.012257054307129,0.117335659329848,0,0,2.05350223546945,9.03880560167896,"KCNK5;COL26A1;COL13A1;MME;ATP1A1;ATP1B1;COL1A1;SLC7A7;COL5A1;COL4A1;COL5A3;COL6A2;COL6A1;COL9A3;KCNN4"
"33","Transcriptional misregulation in cancer","24/192",0.012733596084998,0.117335659329848,0,0,1.72370900866943,7.52142393943731,"NGFR;CDKN1A;CCNT1;GADD45B;JUP;FOXO1;AFF1;RELA;PML;BAIAP3;CCNA1;MAF;MYCN;NR4A3;RXRA;SPINT1;BCL6;SIX4;PLAU;SP1;ID2;TSPAN7;REL;BAK1"
"34","Chronic myeloid leukemia","12/76",0.01295263771823,0.117335659329848,0,0,2.25736256544503,9.81152667571579,"STAT5A;NFKBIA;STAT5B;CDKN1A;SMAD3;TGFB1;GADD45B;SHC1;BAK1;CBL;RELA;MAPK3"
"35","Arrhythmogenic right ventricular cardiomyopathy","12/77",0.0143012964858034,0.12585140907507,0,0,2.22251308900524,9.43991339012595,"CACNG6;CACNB3;DES;JUP;ATP2A3;DAG1;ATP2A2;ITGA7;ATP2A1;ITGA6;ITGB6;ACTG1"
"36","Aldosterone synthesis and secretion","14/98",0.0177758050003308,0.149144204920614,0,0,2.00698995194408,8.0880029582271,"PRKCG;CAMK2A;ATP2B4;ATP1A1;ATP1B1;CACNA1H;CACNA1G;NR4A2;NR4A1;CREB3L3;CREB3L1;PRKD2;DAGLB;LDLR"
"37","Yersinia infection","18/137",0.0179166739677361,0.149144204920614,0,0,1.82277852008083,7.3312580305579,"MAP2K3;PXN;FN1;IL18;RHOG;TRAF2;TICAM1;BAIAP2;RELA;ACTG1;NFKBIA;ACTR3C;FCGR2A;LCK;TRAF6;RAC2;PTK2B;MAPK3"
"38","Gastric cancer","19/149",0.0204352239269408,0.164290944589286,0,0,1.76134122287968,6.85248958024842,"WNT10A;CDKN1A;SMAD3;TGFB1;FZD5;GADD45B;JUP;SHC1;WNT7B;WNT7A;WNT9A;WNT6;RXRA;WNT11;FGF19;CDK2;BAK1;WNT4;MAPK3"
"39","Non-small cell lung cancer","11/72",0.021268041530493,0.164290944589286,0,0,2.16994928647246,8.35549764048534,"PRKCG;STAT5A;STAT5B;CDKN1A;RXRA;GADD45B;RASSF5;BAK1;FOXO3;JAK3;MAPK3"
"40","Melanogenesis","14/101",0.0225938249752962,0.164290944589286,0,0,1.93746704629337,7.34315247022393,"PRKCG;WNT10A;FZD5;WNT7B;CAMK2A;WNT7A;WNT9A;GNAO1;WNT6;WNT11;CREB3L3;CREB3L1;WNT4;MAPK3"
"41","p53 signaling pathway","11/73",0.0233587255975953,0.164290944589286,0,0,2.13483406822929,8.02011191633183,"CDKN1A;RRM2;CD82;SESN3;GADD45B;ZMAT3;CCNG2;SERPINE1;CCNG1;CDK2;GTSE1"
"42","FoxO signaling pathway","17/131",0.0234076841046758,0.164290944589286,0,0,1.79632765432952,6.74465515098666,"CDKN2D;CDKN1A;SMAD3;TGFB1;GADD45B;IRS2;FOXO3;FBXO32;FOXO1;BCL2L11;BCL6;CCNG2;CDK2;HOMER3;SGK3;SGK1;MAPK3"
"43","Axon guidance","22/182",0.0234364578152741,0.164290944589286,0,0,1.65760869565217,6.22177198397003,"SEMA6B;NTNG2;PTCH1;SEMA4B;CAMK2A;SEMA3F;RGMA;BUB1B-PAK6;EFNB1;EFNA3;PARD6B;EFNA2;RRAS;PLXNA2;RAC2;PAK6;SRGAP2;NGEF;EPHB3;WNT4;MAPK3;PAK4"
"44","Terpenoid backbone biosynthesis","5/22",0.0234701349413266,0.164290944589286,0,0,3.53381873922207,13.2589816250624,"IDI1;MVK;HMGCS1;MVD;HMGCR"
"45","Proximal tubule bicarbonate reclamation","5/23",0.0281406893220631,0.191524458929077,0,0,3.33731451321028,11.9160107283862,"GLUD1;CA2;ATP1A1;ATP1B1;AQP1"
"46","Amino sugar and nucleotide sugar metabolism","8/48",0.0289146551238227,0.191524458929077,0,0,2.40469973890339,8.52082920162967,"CYB5R3;PMM1;GFPT2;UAP1L1;PGM3;PGM2;GCK;HK1"
"47","ErbB signaling pathway","12/85",0.0292261349664501,0.191524458929077,0,0,1.97808936383849,6.98798034612673,"PRKCG;STAT5A;STAT5B;CDKN1A;SHC1;CAMK2A;ABL2;PAK6;CBL;MAPK3;PAK4;BUB1B-PAK6"
"48","Pathogenic Escherichia coli infection","23/197",0.0298528406437535,0.191555727464085,0,0,1.59335197266232,5.59501606390716,"ARF1;SEC24B;SEC24A;IL18;TRAF2;BAIAP2;TUBB4A;RELA;ACTG1;NFKBIA;MYO1D;MYO1E;ACTR3C;CLDN3;TUBB2A;FCGR2A;TRAF6;BAK1;EZR;SEC24D;SEC24C;MAPK3;MYO1G"
"49","Insulin secretion","12/86",0.0316757672412531,0.199015190647873,0,0,1.95125229941984,6.73611968723257,"PRKCG;RAB3A;CREB3L3;CREB3L1;CAMK2A;SLC2A1;ATP1A1;ATP1B1;KCNN4;STX1A;GCK;TRPM4"
"50","Ether lipid metabolism","8/49",0.0323076608194599,0.199015190647873,0,0,2.34592116156149,8.05225920186744,"LPCAT4;LPCAT1;PLAAT3;GDPD3;PEDS1;PLPP1;PLD3;PLD2"
"51","Leishmaniasis","11/77",0.0332309250268159,0.199260523993944,0,0,2.0050141704818,6.82561833181455,"C3;NFKBIA;MARCKSL1;TGFB1;FCGR2A;NCF1;TRAF6;EEF1A2;RELA;HLA-DQB1;MAPK3"
"52","Cardiac muscle contraction","12/87",0.0342691518921306,0.199260523993944,0,0,1.92513089005236,6.49444771446656,"CACNG6;CACNB3;ACTC1;TPM2;ATP2A3;ATP2A2;ATP2A1;ATP1A1;ATP1B1;COX6B2;COX6B1;SLC9A1"
"53","Autophagy","17/137",0.0342883369210359,0.199260523993944,0,0,1.70595316261764,5.75409474388929,"IGBP1;DAPK1;ATG9B;DAPK3;IRS2;TSC1;WIPI1;ATG14;ZFYVE1;RRAS;TRAF6;TP53INP2;RRAGD;ATG2A;CTSD;CTSB;MAPK3"
"54","Glycerophospholipid metabolism","13/98",0.0374551501889828,0.213633078855679,0,0,1.84040217265688,6.04500532515521,"PNPLA7;LPCAT1;MBOAT2;PLAAT3;AGPAT2;PLD3;PLD2;PLA2G15;ETNK2;LPCAT4;ETNK1;PNPLA6;PLPP1"
"55","Mineral absorption","9/60",0.0391052309156698,0.21723020700406,0,0,2.12191186075998,6.87817525522469,"MT2A;MT1F;ATP2B4;HMOX1;MT1X;SLC30A1;ATP1A1;ATP1B1;SLC26A6"
"56","Viral carcinogenesis","23/203",0.0401222664762128,0.21723020700406,0,0,1.53973485680803,4.95151603679245,"STAT5A;STAT5B;CDKN1A;GSN;H2BC4;PXN;TRAF2;RBPJ;SND1;RELA;C3;NFKBIA;H2BC12;CCNA1;CREB3L3;CREB3L1;MAPKAPK2;CDK2;H2BC11;REL;BAK1;JAK3;MAPK3"
"57","Hematopoietic cell lineage","13/99",0.0402016941533488,0.21723020700406,0,0,1.81890315407929,5.84567488282149,"IL11;CSF3R;MME;THPO;CD7;CD9;CD37;ITGA6;CD59;IL6R;CD22;CD55;HLA-DQB1"
"58","Prolactin signaling pathway","10/70",0.0411395500159383,0.218465196636362,0,0,2.00435729847495,6.39547386944267,"STAT5A;STAT5B;SOCS1;CISH;SHC1;IRF1;FOXO3;RELA;GCK;MAPK3"
"59","Hepatitis B","19/162",0.0434447075558947,0.226796100461281,0,0,1.60008367700675,5.01828841749541,"MAP2K3;PRKCG;STAT5A;STAT5B;CDKN1A;SMAD3;TGFB1;TICAM1;HSPG2;RELA;NFKBIA;CCNA1;CREB3L3;CREB3L1;TRAF6;CDK2;PTK2B;JAK3;MAPK3"
"60","Hippo signaling pathway","19/163",0.0457766126224384,0.231606552605795,0,0,1.58888523632113,4.90009340487222,"WWTR1;WNT10A;SMAD3;TGFB1;FZD5;WNT7B;SERPINE1;WNT7A;WNT9A;ACTG1;WNT6;PARD6B;FRMD6;LATS2;WNT11;DLG4;ID2;ID1;WNT4"
"61","Apoptosis","17/142",0.0458701289251737,0.231606552605795,0,0,1.63726854891661,5.04596533040912,"NGFR;GADD45B;TRAF2;CTSV;RELA;ACTG1;NFKBIA;BCL2L11;CTSK;CTSH;BIRC7;BAK1;MAP3K14;CTSD;MCL1;CTSB;MAPK3"
"62","Th1 and Th2 cell differentiation","12/92",0.0495190031060992,0.243072546156936,0,0,1.80431937172775,5.42269924203099,"STAT5A;NFKBIA;STAT5B;MAF;NOTCH1;LCK;RBPJ;NFKBIE;JAK3;RELA;HLA-DQB1;MAPK3"
"63","mTOR signaling pathway","18/154",0.0497193844411914,0.243072546156936,0,0,1.5934528870681,4.78252638323544,"PRKCG;WNT10A;FZD5;WNT7B;WNT7A;TSC1;WNT9A;WNT6;WNT11;CASTOR2;RRAGD;SGK1;FNIP1;RNF152;FNIP2;EIF4B;WNT4;MAPK3"
"64","Neomycin, kanamycin and gentamicin biosynthesis","2/5",0.0506545817663535,0.243775174750576,0,0,8.00043346337234,23.8630976464799,"GCK;HK1"
"65","Wnt signaling pathway","19/166",0.0533089585372546,0.249544934225219,0,0,1.55620407268759,4.56224704586414,"PRKCG;TLE4;TLE3;TLE2;WNT10A;SMAD3;FZD5;WNT7B;CSNK2A2;CAMK2A;PRICKLE3;WNT7A;WNT9A;WNT6;WNT11;RAC2;LGR4;WNT4;PPARD"
"66","Glycosaminoglycan degradation","4/19",0.0534739144768327,0.249544934225219,0,0,3.20225694444444,9.37800583655627,"GALNS;HYAL1;IDS;GUSB"
"67","Leukocyte transendothelial migration","14/114",0.0551115182210493,0.253058177277366,0,0,1.68440366972477,4.88206977258076,"PRKCG;NCF1;MMP2;PXN;F11R;ACTG1;CLDN3;RASSF5;RAC2;PTK2B;EZR;VCL;RAPGEF3;SIPA1"
"68","NF-kappa B signaling pathway","13/104",0.0560741613642491,0.253058177277366,0,0,1.71849564973337,4.9511237116913,"UBE2I;EDA;GADD45B;CSNK2A2;TRAF2;TICAM1;RELA;NFKBIA;PLAU;LCK;TRAF6;MAP3K14;CARD11"
"69","PPAR signaling pathway","10/74",0.0566916046497995,0.253058177277366,0,0,1.87867647058824,5.39204409292309,"SLC27A1;RXRA;HMGCS1;SCD;UBC;AQP7;OLR1;SORBS1;CPT1C;PPARD"
"70","Regulation of lipolysis in adipocytes","8/55",0.0583785549878774,0.255038795675559,0,0,2.04577523470918,5.81165192328055,"AQP7;IRS2;PLAAT3;ADRB1;ADRB2;MGLL;PTGS1;PNPLA2"
"71","Hepatocellular carcinoma","19/168",0.0587914106914439,0.255038795675559,0,0,1.53514775249416,4.35023954507139,"PRKCG;GSTM2;WNT10A;CDKN1A;SMAD3;TGFB1;FZD5;GADD45B;SHC1;WNT7B;WNT7A;WNT9A;ACTG1;WNT6;WNT11;HMOX1;BAK1;WNT4;MAPK3"
"72","Breast cancer","17/147",0.0599953474118499,0.256646763928469,0,0,1.57386736703874,4.42805736452875,"WNT10A;CDKN1A;NOTCH1;FZD5;GADD45B;SHC1;NCOA3;WNT7B;WNT7A;WNT9A;WNT6;WNT11;SP1;FGF19;BAK1;WNT4;MAPK3"
"73","Aldosterone-regulated sodium reabsorption","6/37",0.0614684126963196,0.257923716169618,0,0,2.32523026454136,6.48560631432349,"PRKCG;SCNN1A;ATP1A1;ATP1B1;SGK1;MAPK3"
"74","Insulin signaling pathway","16/137",0.0619686850537394,0.257923716169618,0,0,1.59120192620551,4.42533320942679,"SREBF1;PTPN1;SHC1;IRS2;TSC1;SORBS1;CBL;FOXO1;PTPRF;GCK;HK1;SOCS1;FASN;MKNK2;TRIP10;MAPK3"
"75","Diabetic cardiomyopathy","22/203",0.0653917612420595,0.266427639037387,0,0,1.46360797501802,3.99178438803519,"PRKCG;ACE;SMAD3;TGFB1;NCF1;GFPT2;MMP2;CAMK2A;ATP2A3;SLC2A1;ATP2A2;ATP2A1;COX6B2;SDHA;RELA;COX6B1;COL1A1;SP1;PDK4;RAC2;NDUFV2;CTSD"
"76","Pancreatic cancer","10/76",0.0657418849572774,0.266427639037387,0,0,1.82154882154882,4.95829057134769,"CDKN1A;SMAD3;TGFB1;GADD45B;RAC2;BAK1;RALGDS;RELA;PLD2;MAPK3"
"77","Th17 cell differentiation","13/107",0.0673957453546885,0.268432531968494,0,0,1.6633783388371,4.4864197902821,"STAT5A;STAT5B;SMAD3;TGFB1;RELA;NFKBIA;RXRA;LCK;NFKBIE;IL6R;JAK3;HLA-DQB1;MAPK3"
"78","Prostate cancer","12/97",0.0688481476869216,0.268432531968494,0,0,1.69772097320604,4.5428499899049,"PDGFRB;NFKBIA;CDKN1A;CREB3L3;SPINT1;PLAU;CREB3L1;CDK2;FOXO1;RELA;HSP90B1;MAPK3"
"79","Legionellosis","8/57",0.0693629296552263,0.268432531968494,0,0,1.96206106463473,5.235569060104,"C3;NFKBIA;ARF1;SAR1A;RAB1B;EEF1A2;IL18;RELA"
"80","Acute myeloid leukemia","9/67",0.0705066512741283,0.268432531968494,0,0,1.86510957453997,4.94636054460954,"STAT5A;CCNA1;STAT5B;JUP;PIM1;RELA;PML;PPARD;MAPK3"
"81","Bacterial invasion of epithelial cells","10/77",0.070594269770935,0.268432531968494,0,0,1.79426397424642,4.75624625127142,"ACTR3C;SHC1;PXN;RHOG;FN1;CBL;SEPTIN9;DNM1;VCL;ACTG1"
"82","Calcium signaling pathway","25/240",0.0756942065551195,0.281224795373343,0,0,1.40033770818942,3.61434675730145,"PTAFR;CAMK2A;ATP2A3;ATP2A2;ADRB1;ATP2A1;ADRB2;CACNA1H;CACNA1G;GNA15;HTR7;BDKRB2;BDKRB1;PTK2B;PRKCG;PDGFRB;SPHK1;ATP2B4;VEGFC;GRIN2D;FGF19;ITPKA;PLCD3;FGFR4;FGFR3"
"83","Mitophagy","9/68",0.0759865772095379,0.281224795373343,0,0,1.83339791207696,4.72503047716903,"PINK1;RRAS;SP1;ATG9B;CSNK2A2;UBC;FOXO3;TBC1D17;RELA"
"84","Citrate cycle (TCA cycle)","5/30",0.0766976714654571,0.281224795373343,0,0,2.40195439739414,6.16794009780511,"CS;PC;IDH2;OGDHL;SDHA"
"85","PD-L1 expression and PD-1 checkpoint pathway in cancer","11/89",0.0795776514411065,0.288351960516009,0,0,1.69544364508393,4.29120514231229,"MAP2K3;NFKBIA;CD274;MAP3K3;LCK;TRAF6;CSNK2A2;TICAM1;NFKBIE;RELA;MAPK3"
"86","Adipocytokine signaling pathway","9/69",0.0817201187278291,0.289308006530705,0,0,1.80274330502939,4.51488958526185,"NFKBIA;RXRA;SLC2A1;LEPR;IRS2;TRAF2;CPT1C;NFKBIE;RELA"
"87","Renal cell carcinoma","9/69",0.0817201187278291,0.289308006530705,0,0,1.80274330502939,4.51488958526185,"CDKN1A;TGFB1;SLC2A1;ARNT;PAK6;ETS1;MAPK3;PAK4;BUB1B-PAK6"
